Date,Price,Open,High,Low,Vol,Change%
23/09/2021,44884.68,43575,45000,43102,237288079.8,4.52%
24/09/2021,42856,44893,45164.49,40755,504097238.3,0.33%
25/09/2021,42714,42861,42986.85,41728,126452916.2,-1.11%
26/09/2021,43190,42714,43963,40800,238642990.2,2.34%
27/09/2021,42181,43188,44355.99,42135,179876054.9,2.65%
28/09/2021,41064,42181,42777,40928,253092960.7,-1.13%
29/09/2021,41530,41046,42606,40804,182270090.3,-5.54%
30/09/2021,43830,41539,44122,41432,222564882.4,-9.86%
2001/10/21,48151,43829,48464,43311,400652918.8,1.04%
2002/10/21,47649,48157,48350,47438,98363985.22,-1.24%
2003/10/21,48242,47649,49196,47120,173862949,-2.09%
2004/10/21,49252,48241,49503,46897,304859583.7,-4.58%
2005/10/21,51508,49252,51922,49065,344160670.1,-7.43%
2006/10/21,55335,51497,55743,50438,582244350,2.78%
2007/10/21,53797.03,55335,55349,53429,266043091.3,-0.28%
2008/10/21,53947,53797,56000,53628,295796270.8,-1.89%
2009/10/21,54968,53947,55475,53678,134229574.5,0.50%
2010/10/21,54691,54978,56450,54114,319261461.1,-5.12%
2011/10/21,57489,54679,57821,54430,432248022.1,2.57%
2012/10/21,56009,57470,57661,53837.52,332640175.5,-2.43%
13/10/2021,57368,56000,57775,54300,175415053.2,0.02%
14/10/2021,57354,57369,58488,56855,263516961.7,-7.54%
15/10/2021,61680,57352,62900,56881,733022378.1,1.32%
16/10/2021,60868,61686,62333,60171,260688993.3,-1.04%
17/10/2021,61504,60867,61698,59019,316342369.1,-0.80%
18/10/2021,61994,61508,62682,59883,530689291.9,-3.66%
19/10/2021,64263,62007,64421,61368,587843711.5,-2.74%
20/10/2021,66021,64263.93,66958,63535,611462536.4,5.76%
21/10/2021,62219.49,66021,66643,61855,832170423.1,2.43%
22/10/2021,60706,62199,63729,60013,385658320,-0.98%
23/10/2021,61302,60706,61764,59755,166203400.2,0.74%
24/10/2021,60847,61296,61476,59533,175062085.6,-3.70%
25/10/2021,63100,60832,63666,60632,234382150.6,4.46%
26/10/2021,60288,63100,63332.61,59766,286318945.2,3.05%
27/10/2021,58449.28,60285,61450,57950,417086138.4,-3.68%
28/10/2021,60598,58438,62444,57606,488766852.1,-2.74%
29/10/2021,62257.72,60579,62980,60188,244304044.3,0.61%
30/10/2021,61880,62264,62353,60755,138656330.3,0.89%
31/10/2021,61330,61879,62415,60005,148355799.2,0.62%
2001/11/21,60949,61326,62491.21,59522,293321326.8,-3.77%
2002/11/21,63249,60923.3,64313,60661,328996313.5,0.55%
2003/11/21,62900,63249,63565,60175,299687939.5,2.36%
2004/11/21,61414.89,62893,63067,60700,180024077.1,0.67%
2005/11/21,61005,61410,62600,60735,137627802.1,-0.80%
2006/11/21,61495.04,60995,61583,60100,180293993.3,-2.87%
2007/11/21,63263,61495.04,63279,61400,204629120.1,-6.74%
2008/11/21,67526,63277,67665,63277,606485965,0.87%
2009/11/21,66938,67526,68444,66326,432722748.8,3.09%
2010/11/21,64871,66937.19,68958,62866,793693585.1,0.12%
2011/11/21,64791,64871,65541,64079,185627494.7,1.01%
2012/11/21,64134,64785,65421,62255,328314220.2,-0.41%
13/11/2021,64398,64134,64988.99,63405,120309117.2,-1.67%
14/11/2021,65474,64395,65474,63564,143689598.3,2.92%
15/11/2021,63561,65474,66343.88,63351,335054048.5,5.50%
16/11/2021,60068,63560,63561.99,58625.69,784932415.4,-0.47%
17/11/2021,60352.82,60069,60851,58368,405715118.3,5.62%
