Date,Price,Open,High,Low,Vol
25/05/2021,343.43,345.28,376.08,307,2977495160
26/05/2021,379.18,343.44,388.55,336.37,2362173490
27/05/2021,369.71,379.15,387.6,340.03,2089840767
28/05/2021,329.11,369.72,373.72,312.46,2536423804
29/05/2021,304.17,329.12,347.54,295.64,2005398200
30/05/2021,325.52,304.15,338.31,291.01,1810503752
31/05/2021,353.12,325.52,356.16,307.06,1878130587
1/6/21,362.13,353.14,364.5,339.1,1741564229
2/6/21,401.34,362.1,418.45,350.38,2712098415
3/6/21,428.42,401.33,432.18,391.14,2486658573
4/6/21,390.83,428.52,429.71,365.33,3169638671
5/6/21,389.7,390.86,426.55,373.48,2814308175
6/6/21,393.52,389.68,400.22,381.39,1494629391
7/6/21,358,393.55,407.23,352.09,2278544150
8/6/21,352.34,358.03,366.44,319.13,3395242742
9/6/21,375.39,352.32,378.18,333.34,2508616411
10/6/21,351.88,375.42,377.47,344,1786512957
11/6/21,345.49,351.87,366.5,340.51,1534048437
12/6/21,343.6,345.49,348.76,325.18,1487364517
13/06/2021,365.83,343.6,369.24,330.2,1415928304
14/06/2021,369.9,365.86,377.36,355,1362050463
15/06/2021,366.3,369.9,379.72,363,1251491780
16/06/2021,347.24,366.36,366.73,343,1190135952
17/06/2021,352.45,347.24,362.34,345.76,922563341.9
18/06/2021,336.79,352.45,356.85,327,1246471326
19/06/2021,333.77,336.79,345.12,331.02,830131241.4
20/06/2021,338.98,333.77,340.46,310,1330212757
21/06/2021,270.33,338.98,342.36,268,2521419739
22/06/2021,261.92,270.31,291.02,225,3142263427
23/06/2021,295.69,261.92,310.83,250.55,1975489738
24/06/2021,308.53,295.68,316.65,281.12,1693998692
25/06/2021,280.75,308.52,314.8,275.16,1708188712
26/06/2021,279.38,280.74,290.49,263.84,1434197358
27/06/2021,290.7,279.4,291.59,269.24,1147991053
28/06/2021,289.82,290.7,299.45,283.4,1245040196
29/06/2021,300.76,289.82,315.64,289.08,1497846094
30/06/2021,303.44,300.76,304.76,281.3,1355749221
1/7/21,287.38,303.5,303.84,280.1,1035944744
2/7/21,286.83,287.38,290.57,275.93,848109313.1
3/7/21,298.07,286.84,303.33,282.5,795207627.2
4/7/21,307.58,298.1,314.88,292.5,976582649.9
5/7/21,301.98,307.59,307.6,292.11,1111235823
6/7/21,319.5,302,322.39,301.68,1526229265
7/7/21,327.41,319.5,339.44,318.04,1453222436
8/7/21,309.78,327.43,328.27,304.1,1420569019
9/7/21,316.86,309.77,319.36,301.52,903705946.5
10/7/21,316.11,316.86,321,310.3,714538084.7
11/7/21,321.8,316.1,326.72,312,745841388.4
12/7/21,315.56,321.81,334,308.21,1197083646
13/07/2021,308.82,315.53,318,305.11,915468111.5
14/07/2021,309.23,308.82,313.26,290,1177795370
15/07/2021,315.78,309.23,323.98,301.11,1775156093
16/07/2021,302.71,315.78,323.31,301.68,1233410183
17/07/2021,300.08,302.7,306.4,293.7,977414783.6
18/07/2021,301.77,300.11,308.88,298.32,757414019
19/07/2021,280.27,301.78,303.46,278,1108678460
20/07/2021,264.19,280.25,283.32,253.64,1420242675
21/07/2021,293.07,264.19,299,260.6,1404509137
22/07/2021,293,293.1,298.45,287.25,837626238.3
23/07/2021,299.27,293.01,301.34,281.05,1020073952
24/07/2021,301.47,299.32,307.92,295.4,786991599.8
25/07/2021,302.17,301.46,303.92,292.2,626122954.3
26/07/2021,303.8,302.17,329.05,300.62,1603715457
27/07/2021,313.24,303.79,318.28,297.32,1054064422
28/07/2021,313.67,313.21,318.73,307.31,879596028.3
29/07/2021,317.15,313.66,320.53,308.05,692772852
30/07/2021,322.78,317.12,326,306,854499039.7
31/07/2021,332.5,322.81,338.81,317.34,907945495.6
1/8/21,332.57,332.5,348.15,328.68,1020012024
2/8/21,330.53,332.58,338.22,326.36,695702471.6
3/8/21,323.46,330.56,334.7,317.08,624222550.8
4/8/21,334.88,323.46,337.19,319.67,567879298.3
5/8/21,338.11,334.87,340.26,323.55,783124698.5
6/8/21,342.28,338.08,347.46,330.95,743134430.5
7/8/21,356.25,342.27,359.99,340.31,924167277.2
8/8/21,341.99,356.25,360,337.03,804202946.4
9/8/21,354.46,342,357.82,333.35,840693384.2
10/8/21,372.03,354.46,377.34,348.7,1274046722
11/8/21,391.24,372.03,409.5,371.17,1316900223
12/8/21,385.8,391.23,406.95,371.77,1373495245
13/08/2021,411.21,385.82,411.72,383,1061882550
14/08/2021,408.9,411.26,419.54,400,1092505500
15/08/2021,414.4,408.9,415.42,396.44,813110866.3
